City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,265.01,73,1,1.63,IS,1707361799
1,hawaiian paradise park,19.5933,-154.9731,296.41,81,100,2.06,US,1707362025
2,puerto ayacucho,5.6639,-67.6236,297.87,91,89,1.93,VE,1707361758
3,waitangi,-43.9535,-176.5597,292.49,85,100,2.33,NZ,1707361793
4,albany,42.6001,-73.9662,274.67,68,38,0.72,US,1707361948
5,mitu,1.1983,-70.1733,297.45,88,73,0.23,CO,1707362027
6,edinburgh of the seven seas,-37.0676,-12.3116,290.28,67,100,2.88,SH,1707361797
7,atafu village,-8.5421,-172.5159,301.55,79,100,8.48,TK,1707361806
8,kruisfontein,-34.0033,24.7314,290.86,78,4,3.83,ZA,1707362028
9,coahuayana de hidalgo,18.7,-103.6583,295.57,91,21,0.79,MX,1707362028
10,lebu,-37.6167,-73.65,286.96,77,96,8.97,CL,1707361795
11,palmeira das missoes,-27.8994,-53.3136,291.99,94,92,2.48,BR,1707362028
12,kodiak,57.79,-152.4072,273.88,86,100,2.57,US,1707362028
13,georgetown,5.4112,100.3354,305.34,74,20,4.12,MY,1707362029
14,adamstown,-25.066,-130.1015,297.35,75,100,5.52,PN,1707361793
15,noosa heads,-26.3833,153.15,302.1,68,15,8.18,AU,1707361889
16,baidoa,3.1138,43.6498,295.88,78,1,6.17,SO,1707362029
17,chonchi,-42.6128,-73.8092,283.88,96,38,0.9,CL,1707361796
18,puerto natales,-51.7236,-72.4875,281.22,83,78,5.94,CL,1707361797
19,klyuchi,52.2667,79.1667,265.77,87,11,4.38,RU,1707361794
20,anadyr,64.75,177.4833,256.43,85,75,9.0,RU,1707361807
21,puerto ayora,-0.7393,-90.3518,300.13,94,98,2.24,EC,1707362030
22,jumla,29.2747,82.1838,276.06,27,0,1.79,NP,1707362030
23,hammerfest,70.6634,23.6821,261.4,67,100,4.63,NO,1707361793
24,brush,40.2589,-103.6238,278.41,93,100,3.6,US,1707361799
25,xai-xai,-25.0519,33.6442,296.63,83,17,1.12,MZ,1707362031
26,hermanus,-34.4187,19.2345,290.82,80,78,3.76,ZA,1707362031
27,port-aux-francais,-49.35,70.2167,277.53,71,80,12.36,TF,1707362031
28,tolanaro,-25.0319,46.9987,296.05,93,11,1.81,MG,1707362032
29,poronaysk,49.2167,143.1167,260.47,75,95,0.46,RU,1707361755
30,newman,37.3138,-121.0208,281.28,91,76,3.22,US,1707362032
31,bad honningen,50.5167,7.3167,277.81,98,100,0.84,DE,1707362032
32,vorkuta,67.5,64.0,265.37,88,100,4.68,RU,1707361924
33,nelson bay,-32.7167,152.15,298.2,73,100,4.02,AU,1707362032
34,banjar,-8.19,114.9675,304.54,62,34,1.23,ID,1707362033
35,vilyuchinsk,52.9306,158.4028,267.3,79,100,0.86,RU,1707362033
36,ushuaia,-54.8,-68.3,280.96,76,75,3.6,AR,1707362033
37,saipan,15.1355,145.701,302.54,54,0,7.2,MP,1707361958
38,puerto baquerizo moreno,-0.9,-89.6,298.85,82,73,4.85,EC,1707362033
39,gadzhiyevo,69.2551,33.3362,249.37,100,92,3.44,RU,1707362034
40,soham,52.3318,0.3387,276.99,91,100,1.54,GB,1707362034
41,nadi,-17.8,177.4167,301.15,78,75,2.06,FJ,1707362034
42,nuku'alofa,-21.1333,-175.2,304.34,74,20,5.14,TO,1707362034
43,dudinka,69.4058,86.1778,246.3,97,24,1.79,RU,1707362034
44,nacala,-14.5428,40.6728,297.96,92,100,1.85,MZ,1707362034
45,flying fish cove,-10.4217,105.6791,301.97,74,75,3.6,CX,1707362035
46,blackmans bay,-43.0167,147.3167,297.89,56,0,0.45,AU,1707362035
47,gizo,-8.103,156.8419,302.28,76,100,7.16,SB,1707362035
48,utrik,11.2278,169.8474,299.55,82,100,9.39,MH,1707362035
49,codrington,-38.2667,141.9667,293.07,52,0,6.34,AU,1707361797
50,thompson,55.7435,-97.8558,259.0,97,100,2.33,CA,1707362036
51,whitefish,48.4111,-114.3376,273.43,94,100,3.09,US,1707362036
52,bethel,41.3712,-73.414,275.67,65,0,1.54,US,1707362037
53,east london,-33.0153,27.9116,292.45,62,0,4.22,ZA,1707362037
54,grytviken,-54.2811,-36.5092,282.51,64,100,5.27,GS,1707362037
55,jamestown,42.097,-79.2353,275.95,51,0,2.06,US,1707362029
56,buta,2.7858,24.73,292.02,50,6,0.92,CD,1707362038
57,mesquite,32.7668,-96.5992,289.86,57,75,5.66,US,1707362039
58,port mathurin,-19.6833,63.4167,299.98,78,82,8.82,MU,1707362039
59,shimanovsk,52.0,127.7,262.7,65,3,3.77,RU,1707362039
60,calatayud,41.3535,-1.6432,284.95,81,100,7.59,ES,1707362039
61,buenos aires,-34.6132,-58.3772,302.56,79,0,3.6,AR,1707361865
62,stanley,54.868,-1.6985,271.36,95,0,0.0,GB,1707362040
63,sao gabriel da cachoeira,-0.1303,-67.0892,297.29,96,90,0.16,BR,1707362040
64,tura,25.5198,90.2201,291.02,31,0,1.63,IN,1707361819
65,arkhangel'sk,64.5401,40.5433,244.21,76,20,1.0,RU,1707362040
66,isangel,-19.55,169.2667,303.21,79,40,4.12,VU,1707362040
67,kone,-21.0595,164.8658,298.29,86,100,2.39,NC,1707361840
68,south venice,27.0531,-82.4243,288.85,72,40,3.09,US,1707362041
69,port elizabeth,-33.918,25.5701,292.77,82,3,1.79,ZA,1707362041
70,canutama,-6.5339,-64.3831,297.19,96,100,1.08,BR,1707362041
71,geraldton,-28.7667,114.6,314.38,9,0,9.77,AU,1707362041
72,greenland,43.0362,-70.8328,273.07,88,20,0.0,US,1707362042
73,uturoa,-16.7333,-151.4333,301.63,84,77,11.94,PF,1707362042
74,kingston,17.997,-76.7936,296.68,64,20,6.69,JM,1707362004
75,praia da vitoria,38.7333,-27.0667,289.13,87,48,9.09,PT,1707362043
76,talnakh,69.4865,88.3972,247.55,89,28,1.94,RU,1707362043
77,qaqortoq,60.7167,-46.0333,266.32,78,100,2.12,GL,1707361808
78,les cayes,18.2,-73.75,293.31,65,0,3.87,HT,1707362045
79,nejo,9.5,35.5,290.26,46,90,1.36,ET,1707362045
80,broken hill,-31.95,141.4333,302.98,25,44,7.06,AU,1707362045
81,faya-largeau,17.9257,19.1043,287.63,30,30,6.22,TD,1707362045
82,mahina,-17.5065,-149.489,302.02,89,75,7.2,PF,1707362046
83,olonkinbyen,70.9221,-8.7187,270.32,56,91,5.75,SJ,1707361798
84,puyang chengguanzhen,35.7028,115.0053,277.11,64,58,3.33,CN,1707362046
85,chimore,-16.9833,-65.1333,296.13,99,100,0.93,BO,1707362046
86,sitka,57.0531,-135.33,275.09,75,40,2.06,US,1707362047
